Country Name,Country Code,Indicator Name,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Lithuania,LTU,GDP per capita (current US$),3297.354701,3530.147337,4146.987928,5505.535669,6706.966998,7863.162009,9240.642548,12297.91535,14961.56818,11837.39103,11957.08421,14354.18838,14339.28787,15702.14306,16548.40641,14249.11497,14999.47964,16882.63947,19080.61737,19455.45413
Luxembourg,LUX,GDP per capita (current US$),48735.99549,48179.42085,52930.64115,65445.88503,75716.35108,80289.69641,89739.7117,106018.4928,114293.8433,103198.6693,104965.3061,115761.5077,106749.0136,113625.1329,118823.6484,101376.4966,104278.391,107627.151,116654.2611,114704.5942
Latvia,LVA,GDP per capita (current US$),3351.230706,3566.171119,4125.210034,5127.593575,6343.143526,7552.873894,9663.373451,14042.46242,16376.99836,12257.21657,11348.40623,13832.39118,13850.64282,15041.17446,15740.32675,13698.93795,14153.41492,15586.58189,17805.28031,17836.36489
"Macao SAR, China",MAC,GDP per capita (current US$),15710.08693,15552.95038,16315.36363,17808.90151,22446.33637,25043.01895,29950.77311,36352.91846,40597.55748,40796.96183,52253.15531,66644.38534,76291.84749,89287.45402,93777.1068,75340.98698,74061.08603,81516.67492,87208.53591,84096.39631
St. Martin (French part),MAF,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,
Morocco,MAR,GDP per capita (current US$),1334.943051,1339.293577,1416.488158,1725.458038,1952.90183,2018.025743,2196.01219,2499.259938,2890.360083,2866.924199,2839.925168,3046.949136,2912.658275,3121.681176,3171.699192,2875.257985,2896.720003,3036.325255,3222.200634,3204.095003
Monaco,MCO,GDP per capita (current US$),82367.99128,83734.77998,90501.3418,108627.3057,123519.806,124193.6056,134044.7012,169961.3839,185721.7942,154762.1994,150725.1941,169020.8878,157515.8991,177664.1156,189422.2188,166011.5091,170028.6557,167517.0597,185829.018,
Moldova,MDA,GDP per capita (current US$),440.6720307,507.5576584,570.9726454,682.5255088,897.4499588,1034.707058,1183.379211,1531.685476,2111.201495,1899.010117,2437.529978,2942.255949,3045.739874,3322.038436,3328.801449,2732.457113,2880.439281,3509.69345,4233.999556,4498.52085
Madagascar,MDG,GDP per capita (current US$),293.6071574,334.4416383,319.216474,368.7971942,284.4876464,319.5374402,338.7511265,438.6552901,536.3514595,467.5397549,471.959197,531.2655718,518.1529543,541.0662,530.8613457,467.2353994,475.9554172,515.2927249,527.5013261,522.2198092
Maldives,MDV,GDP per capita (current US$),2234.579866,3039.334623,3049.197616,3475.983305,3941.431136,3639.966576,4809.963115,5574.451876,6614.159147,6636.412416,7076.662423,7291.42764,7265.613656,7928.457365,8499.365762,9033.390413,9209.288625,9540.634349,10330.61561,10790.50024
Middle East & North Africa,MEA,GDP per capita (current US$),3066.34667,3020.652289,2953.134791,3265.225767,3738.425417,4410.601214,5056.227604,5868.756017,7177.970224,6274.402399,7169.344653,8324.984473,8894.861579,8652.347582,8537.258824,7371.998335,7265.221146,7411.423129,8049.979551,8104.501888
Mexico,MEX,GDP per capita (current US$),7157.8145,7544.568648,7593.137793,7075.369643,7484.486542,8277.671251,9068.294387,9642.680605,10016.5713,8002.972106,9271.398233,10203.42085,10241.72792,10725.18332,10922.37605,9605.952351,8739.756043,9278.418168,9673.443674,9863.072699
Marshall Islands,MHL,GDP per capita (current US$),2272.722795,2388.549648,2515.527974,2458.068318,2456.244952,2568.361142,2608.605448,2745.438975,2726.097483,2698.179556,2876.994997,3083.83188,3224.338382,3296.698163,3230.02326,3213.837288,3473.775006,3666.695374,3788.163594,
Middle income,MIC,GDP per capita (current US$),1264.567026,1263.792712,1271.400459,1413.961834,1657.425946,1951.823525,2292.905302,2803.427178,3325.115449,3212.848716,3866.193845,4517.714608,4770.005245,4991.390481,5121.330794,4804.481578,4778.762823,5193.1639,5480.309215,5575.440915
